CategoryId;Code;Niv1;Niv2;Niv3;Niv4;modelid;name;;;
1000008694;01;JOUET (NEW);NULL;NULL;NULL;1897;JOUETS - LOISIRS - PUERI_MKP;;;
1000008695;0101;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;NULL;NULL;1769;New - Jouet généraliste - Société - Scientifiques;;;
1000008696;010101;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;ARDOISE ENFANT - ARDOISE MAGIQUE;NULL;NULL;NULL;;;
1000008697;01010101;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;ARDOISE ENFANT - ARDOISE MAGIQUE;ARDOISE ENFANT - ARDOISE MAGIQUE;NULL;NULL;;;
1000008698;010102;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;BALLE - BOULE - BALLON;NULL;NULL;NULL;;;
1000008699;01010201;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;BALLE - BOULE - BALLON;BALLE - BOULE - BALLON;NULL;NULL;;;
1000008700;010103;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;FORME A TRIER ET A AGENCER - BOITE A FORME - PYRAMIDE-GIGOGNE;NULL;NULL;NULL;;;
1000008701;01010301;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;FORME A TRIER ET A AGENCER - BOITE A FORME - PYRAMIDE-GIGOGNE;FORME A TRIER ET A AGENCER - BOITE A FORME - PYRAMIDE-GIGOGNE;NULL;NULL;;;
1000008702;010104;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;BOITE A MUSIQUE;NULL;NULL;NULL;;;
1000008703;01010401;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;BOITE A MUSIQUE;BOITE A MUSIQUE;NULL;NULL;;;
1000008704;010105;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;BOULIER - CIRCUIT A BOULE;NULL;NULL;NULL;;;
1000008705;01010501;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;BOULIER - CIRCUIT A BOULE;BOULIER - CIRCUIT A BOULE;NULL;NULL;;;
1000008706;010106;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;CLE EVEIL;NULL;NULL;NULL;;;
1000008707;01010601;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;CLE EVEIL;CLE EVEIL;NULL;NULL;;;
1000008708;010107;JOUET (NEW);JOUET GENERALISTE - LUDO-EDUCATIF;CUBE EVEIL;NULL;NULL;NULL;;;
